Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C7, C9",C0402,7,100n,C1525
C5,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,1,1000u,C3359
C6,CAP-SMD_BD6.3-L6.6-W6.6-FD,1,470u,C82004
H1,HDR-TH_34P-P2.54-H-M-R2-C17-S2.54,1,X6521WR-2×17H-C30D60,C725929
"JA1, JB1",IDC-TH_16P-P2.54_C3406,2,Conn_02x08_Odd_Even,C3406
"JL1, JR1",HDR-TH_22P-P2.54-V-M,2,Conn_01x22_Socket,C7500786
JLED1,CONN-TH_3P-P2.54_KF128-2.54-3P,1,Screw_Terminal_01x03,C474921
JPWR1,CONN-TH_P2.54_KF128-2.54-2P,1,Screw_Terminal_01x02,C474920
LED1,LED-SMD_4P-L2.2-W2.0-P1.00_WS2815C-2020-4P,1,WS2812B-2020-V6,C52917434
"R1, R2",402,2,5.1K,C25905
R3,402,1,330,C25104
R4,402,1,3.3k,C25890
RV1,RES-ADJ-TH_3P-L7.1-W6.9-P2.50-L_3362P,1,20k,C118933
"UA1, UB1",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,2,SN74HC163DR_C338758,C338758
"UA2, UB2",SSOP-24_L8.1-W5.3-P0.65-LS7.8-BL,2,CD74HC4067SM96,C98457
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
