Designator,Mid X,Mid Y,Rotation,Layer
C1,79.6,-54.2758,0.0,top
C10,91.7,-73.2,45.0,top
C2,106.142893,-86.557107,315.0,top
C3,75.083838,-71.721082,225.0,top
C4,121.909974,-54.3,0.0,top
C5,124.442893,-66.292893,90.0,top
C7,107.264551,-70.347509,135.0,top
C9,96.492893,-62.692893,45.0,top
H5,96.929974,-26.923324,180.0,top
JA1,119.104842,-84.650459,225.0,top
JB1,77.04613,-84.678743,135.0,top
JL1,98.199974,-57.228858,0.0,top
JLED1,91.803516,-85.396484,45.0,top
JPWR1,126.041584,-19.292016,180.0,top
JR1,98.199974,-31.728858,0.0,top
LED1,98.10353553390590,-65.04944046609410,225.0,top
R1,122.996446,-50.41066,225.0,top
R2,121.592893,-48.992893,45.0,top
R3,96.4,-67.4,90.0,top
R4,81.939309,-63.168555,135.0,top
RV1,77.43503970710680,-64.27871229289320,315.0,top
UA1,101.035543,-73.287109,225,top
UA2,107.560265,-79.525665,135,top
UB1,88.720887,-66.929939,135,top
UB2,82.151441,-73.138761,45,top
USB1,125.630765,-46.347157,135.0,top
