Designator,Mid X,Mid Y,Rotation,Layer
C1,79.6,-54.2758,0.0,top
C10,91.111596,-73.795259,225.0,top
C2,111.439875,-81.355412,315.0,top
C3,75.083838,-71.721082,225.0,top
C4,121.85,-60.2242,180.0,top
C5,92.209328,-82.34812,45.0,top
C6,124.544331,-65.178577,225.0,top
C7,113.232815,-65.612104,315.0,top
C9,96.042893,-74.557107,135.0,top
H1,96.929974,-26.923324,180.0,top
JA1,119.104842,-84.650459,225.0,top
JB1,77.04613,-84.678743,135.0,top
JL1,98.199974,-57.228858,0.0,top
JLED1,104.432447,-85.449419,315.0,top
JPWR1,126.041584,-19.292016,180.0,top
JR1,98.199974,-31.728858,0.0,top
LED1,98.10003535533910,-72.30003535533910,225.0,top
R1,122.102974,-48.884998,225.0,top
R2,120.688761,-47.470785,45.0,top
R3,94.331709,-72.5,0.0,top
R4,81.939309,-63.168555,135.0,top
RV1,77.43503970710680,-64.27871229289320,315.0,top
UA1,106.390885,-67.9912,225,top
UA2,112.915607,-74.229756,135,top
UB1,88.720887,-66.929939,135,top
UB2,82.151441,-73.138761,45.0,top
USBC1,125.71911728520200,-44.84459071479750,135.0,top
